tier,name,jurisdiction,parentName
0,Lehman Brothers Holdings Inc.,Delaware,
1,Appalachian Asset Management Corp.,Delaware,Lehman Brothers Holdings Inc.
2,Lehman Risk Services (Bermuda) Ltd.,Bermuda,Appalachian Asset Management Corp.
1,ARS Holdings I LLC,Delaware,Lehman Brothers Holdings Inc.
1,Banque Lehman Brothers S.A.,France,Lehman Brothers Holdings Inc.
1,LB 745 LLC,Delaware,Lehman Brothers Holdings Inc.
1,LB 745 Leaseco I LLC,Delaware,Lehman Brothers Holdings Inc.
1,LBAC Holdings I Inc.,Delaware,Lehman Brothers Holdings Inc.
2,Lehman Brothers Asia Capital Company,Hong Kong,LBAC Holdings I Inc.
1,LBCCA Holdings I LLC,Delaware,Lehman Brothers Holdings Inc.
2,Falcon Holdings I LLC,Delaware,LBCCA Holdings I LLC
3,Falcon Holdings II Inc.,Delaware,Falcon Holdings I LLC
4,CIMT Limited,Cayman Islands,Falcon Holdings II Inc.
5,TMIC Limited,Cayman Islands,CIMT Limited
6,MICT Limited,Cayman Islands,TMIC Limited
7,Falcon Investor I-X Inc.,Cayman Islands,MICT Limited
8,Global Thai Property Fund,Thailand,Falcon Investor I-X Inc.
2,Lehman Brothers Asia Capital Company,Hong Kong,Global Thai Property Fund
2,Lehman Brothers Commercial Corporation Asia Limited,Hong Kong,LBCCA Holdings I LLC
2,Revival Holdings Limited,Cayman Islands,LBCCA Holdings I LLC
3,Global Korea Investments Ltd.,Cayman Islands,Revival Holdings Limited
4,SOGKI Development Inc.,Cayman Islands,Global Korea Investments Ltd.
5,GKI Korea Development Limited,Malaysia,SOGKI Development Inc.
6,Maewha K-STARS Ltd.,Republic of Korea,GKI Korea Development Limited
3,Sunrise Finance Co., Ltd.,Japan,Revival Holdings Limited
1,LBCCA Holdings II LLC,Delaware,Lehman Brothers Holdings Inc.
2,Falcon Holdings I LLC,Delaware,LBCCA Holdings II LLC
3,Falcon Holdings II Inc.,Delaware,Falcon Holdings I LLC
4,CIMT Limited,Cayman Islands,Falcon Holdings II Inc.
5,TMIC Limited,Cayman Islands,CIMT Limited
6,MICT Limited,Cayman Islands,TMIC Limited
7,Falcon Investor I-X Inc.,Cayman Islands,MICT Limited
8,Global Thai Property Fund,Thailand,Falcon Investor I-X Inc.
2,Lehman Brothers Commercial Corporation Asia Limited,Hong Kong,LBCCA Holdings II LLC
2,Revival Holdings Limited,Cayman Islands,LBCCA Holdings II LLC
3,Global Korea Investments Ltd.,Cayman Islands,Revival Holdings Limited
4,SOGKI Development Inc.,Cayman Islands,Global Korea Investments Ltd.
5,GKI Korea Development Limited,Malaysia,SOGKI Development Inc.
6,Maewha K-STARS Ltd.,Republic of Korea,GKI Korea Development Limited
3,Sunrise Finance Co., Ltd.,Japan,Revival Holdings Limited
1,LB Delta Funding,Cayman Islands,Lehman Brothers Holdings Inc.
2,LB Delta (Cayman) No 1 Ltd.,Cayman Islands,LB Delta Funding
1,LBHK Funding (Cayman) No. 4 Ltd.,Cayman Islands,Lehman Brothers Holdings Inc.
2,LBHK Funding (Cayman) No. 1 Ltd.,Cayman Islands,LBHK Funding (Cayman) No. 4 Ltd.
1,LB Russia Holdings LLC,Delaware,Lehman Brothers Holdings Inc.
2,LB Russia Holdings Inc.,Delaware,LB Russia Holdings LLC
3,OOO Lehman Brothers,Russia,LB Russia Holdings Inc.
1,Lehman ALI Inc.,Delaware,Lehman Brothers Holdings Inc.
2,314 Commonwealth Ave. Inc.,Delaware,Lehman ALI Inc.
3,Alnwick Investments (UK) Ltd.,United Kingdom,314 Commonwealth Ave. Inc.
3,Bamburgh Investments (UK) Ltd.,United Kingdom,314 Commonwealth Ave. Inc.
4,Gainsborough Investments BV,The Netherlands,Bamburgh Investments (UK) Ltd.
5,Kenilworth Investments 1 Ltd.,Cayman Islands,Gainsborough Investments BV
3,Kenilworth Investments 2 Ltd.,Cayman Islands,314 Commonwealth Ave. Inc.
3,Brasstown LLC,Delaware,314 Commonwealth Ave. Inc.
4,Brasstown Mansfield I SCA,Luxembourg,Brasstown LLC
2,Lehman Capital Investments 2 Ltd.,Cayman Islands,Lehman ALI Inc.
2,Property Asset Management Inc.,Delaware,Lehman ALI Inc.
3,L.B.C. YK,Japan,Property Asset Management Inc.
3,LB Capital Investments 2 Ltd.,Cayman Islands,Property Asset Management Inc.
3,LBS Holdings SARL,Luxembourg,Property Asset Management Inc.
3,Lehman Brothers Global Investments LLC,Delaware,Property Asset Management Inc.
4,New Century Finance Co., LTD.,Japan,Lehman Brothers Global Investments LLC
5,Lehman Brothers Commercial Mortgage K.K.,Japan,New Century Finance Co., LTD.
3,Lehman Brothers Hy Opportunities Korea Inc.,Republic of Korea,Property Asset Management Inc.
3,Lehman Brothers P.A. LLC,Delaware,Property Asset Management Inc.
1,Lehman Brothers AIM Holding LLC,Delaware,Lehman Brothers Holdings Inc.
2,Lehman Brothers Alternative Investment Management LLC,Delaware,Lehman Brothers AIM Holding LLC
1,Lehman Brothers Asset Management Inc.,Delaware,Lehman Brothers Holdings Inc.
1,Lehman Brothers Asset Management, LLC,Delaware,Lehman Brothers Holdings Inc.
1,Lehman Brothers Asia Pacific (Singapore) PTE. Ltd.,Singapore,Lehman Brothers Holdings Inc.
2,Lehman Brothers Asia Holdings Limited,Hong Kong,Lehman Brothers Asia Pacific (Singapore) PTE. Ltd.
3,Lehman Brothers Equity Finance (Cayman) Limited,Cayman Islands,Lehman Brothers Asia Holdings Limited
3,Lehman Brothers Securities N.V.,The Netherlands,Lehman Brothers Asia Holdings Limited
2,Lehman Brothers Pacific Holdings Pte. Ltd.,Singapore,Lehman Brothers Asia Pacific (Singapore) PTE. Ltd.
3,Lehman Brothers Asia Limited,Hong Kong,Lehman Brothers Pacific Holdings Pte. Ltd.
